RestaurantID,Cuisine
tf3RVircY9-8adku41N6VQ,american
2n01u4yKfIrWuOzRVvIZmw,american
aiRctIzCj9J3UqBHd-Z3HQ,american
eN-OHMPod8iJjzpgYS3LKw,american
n8p5g3-Fu1RBKx35QhiaXg,american
8fDAF540cmDeC-nVlJKPwQ,american
eUXQ5252nnkepDM9q2ZNCA,american
AgAkUVLN_axMY-bzbNCfCw,american
3idAtiEXe_XfTcPoZC_DcQ,american
3V20VbC45XL4TBYTL9DrOg,american
jvPYm9rYK-5ddnjU30Oz4Q,american
IYlO-XRwjZlUl0yoKY87cA,american
Cw8g99c6ybhsbrTCgI5S_Q,american
QHurDPvtdeq3_KGTbBd-6A,american
ZgIfySJ3cnB1svoyJAiCzg,american
qOp4T7UxfL6MgO41dN3Qlg,american
upaVTWhLsxcu1HXqN8iHVQ,american
wTQYOTh9_JPI2I8s6Xc-Cw,american
6qnWAPjJ7UER4QLCtotyBw,american
oLt7V8jK7dRiyvZuW0TW8Q,american
H1QphdrrsaB472y9HXi2Ow,american
J0toV5NSvtQ0gmfZtswTdw,american
J4Aji-XOfYXzqH9IV4NQqQ,american
N5UY113nNpeKdLPv0cbMjQ,american
rCpO-kMHljieU0geK0RJQw,american
ZCfqAtpASbibf_YaU1rIpw,american
zX8IF7oCbw1HrNaPmOBy-g,american
8xpGj_YkI2X6QxqXUJPw7g,american
5m-TrbqMNnwJvOd7pAt6OA,american
r271Tv2uqJtIcghCFRa8BQ,american
3dcM10jqcuVftp7nn_HE0g,american
TGP5gbAgml0IDRLGCpFnCw,american
XpSVrJTLu9BFBy2_LFqIiA,american
j1TePe2B6pjvvEg2VOLNcg,american
bWhupxuUj3LTu0aK3CuOtA,american
0iCISI2oP9bkS54hy68Xsw,american
KSj9ZMk0A4Fruv0jCYREXg,american
kMxXLrASxsbmS-ZzAaBe-A,american
5vCEslftA9kQwgjY7Wt0mA,american
63nYipWuA42RZmESBMUNkQ,american
OL0tLwE5Er1JX2dtEjjerg,american
ePqKbqXFBCbwBaWiN2Jo9w,american
yc17eYI-lv59ShQ3zMy_Bg,american
CZAio2nkMzsEyYlZOK4zrQ,american
DYzpeSntTyL7ARvX3vSp6A,american
fWy_ZLYoNfzu-EewhbRBxw,american
r0kjf2R2H0GMJm5Yj4AusA,american
bvIXVgn_Do7K7qnqcJmWhA,american
6Z9Bo8cUMYdwe01llOy0gQ,american
0-LZIrFbNTDmtjNpa_afiQ,american
xh9vrGDaAQIfhlDUJliJsw,american
F7UeBLZHOtyxz2rTNnmt3Q,american
0on-dzMpBki-qDa18pjF5A,american
QUf4eik0ipJGkBtRHNMl5g,american
qMHzIYzoHYe55I7L65iEQw,american
RDhaYdyWDJWyBkH0T7URuQ,american
PSpKOPwS1YFLsEVw4ZYSvQ,american
8xYvp9j7j8RCRQGsiRRujQ,american
_LWMvrtyqhA-PRRZaR2TdA,american
abzv_ek_TBhWHSApHLFGhw,american
6OR2yWbTiaBrqLwNnGNaMA,american
IXGLhRPnboqlWymYQ5_b0g,american
UzbUpYfoHwHrNCFWSuz_hw,american
hmG5OnHEe2vQRrQxez0U9w,american
GiGY1ft33Beis-y4ugJ00g,american
huOYFLpe3EQKFeDVoxk6Hw,american
bJBDLBZiak_pCI5CuvAfAA,american
4Objcs7HXSGuzpb0SOa-Jw,american
3iLPrhNb02n81GdxP_jqgQ,american
WaUuOzaY7WnmBer2nTLPUQ,american
h7tlu-BA8XyHQI-7mO0New,american
ZIsaP3HcSiTEZ3SiemTqyQ,american
KgpOYAG-r_eDsQXFXt0nnQ,american
ZcwkYG95JHKKiLzJ8nrVYA,american
C2o3Iw-DXjoUJFgQIbiqkQ,american
Me4TxTbPPQZQopW1wOGx5g,american
YHGuFyxRSM5cO6OcmJKkkQ,american
3RzOtG3BmPaZy7NtlbGfsg,american
ru1SNTniUClsnDWy4MNsfw,american
aSFBv64GBpMOFPqIleeQFQ,american
puIxzUYl8hhVfWJRaMsZcA,american
aKweUFx_E1KR4DoXIzcPxA,american
bV_RI0zlJkq3XWS7FGmOzg,american
EGS6y6WsPkNs8PZ2X6bHOA,american
Lst7wAYH_Dlxocz3nYPnow,american
XZBxx5rdGBBnT2RPSdV8EQ,american
hGo9KArKThuOKxNbwmNpoA,american
jzQNE09rRKz8Ou-bEdEY1Q,american
Du4yrt8aWlBhOeEjhEH3ww,american
yy8jf3cnbXG4KOLGNJVfig,american
oucUhaQjSEeJb2F3rVRR_Q,american
JQI9jo2g_OIxkMIumpMtXQ,american
t9m2CumYaktkVO1hs_I4Jw,american
l2b6HJGarUxoeLnM9syTmg,american
Vz_VSDTLuuEfaku4ihKTvA,american
DE0ROwygh-86i4s-WLp8wQ,american
UQuV1hiPRPqPT2qBcLrQqA,american
vdrHSnRc1X2pJiLJuiOfGA,american
8Y5Ytn30Wup9sNf2n99s1A,american
Z2sNzskjS8Ck0plppRBJIg,american
GBJOu9Rk4JqqWjB8ddYudw,american
0pohq-vk8zKoi8ntSJnX4g,american
Lf6uC5s6B8HIYAy-t9Hcng,american
eg7ppmQWAjiQc1qZgRApfA,american
lic6A0SA8HS_98R03QtSaw,american
WVCzrF5V03m00fSn0Tmm5w,american
cuW4bq99zLIQeNpiYPBliQ,american
oCeDS1HexV3bWSJLxmjqXQ,american
D2qV8sDdHEFlHbVz7VSHRQ,american
2x8ZXCEIA2ZmXoW9L-KEjw,american
nKpHJSu7xbGyerOjfLRzfA,american
oV424-PaBMTE99BqGLotYQ,american
97FAbPIKn0Pronu-Qp7W_g,american
XBWO26QblInZGftnSDD94A,american
Vs-3byrsBYwd_Cnfl0CyFw,american
RW-v9cm9rQZS9cSihuXfvw,american
AcipVtCZ68bUNdsPOpa_JA,american
0Q3xCYWK2N-wJfXjLa9dFg,american
5CXBrHdBfK7wnu-KXXmUrw,american
abNHO9-xlCsv31gghCUuxw,american
whAaCYXkFzkITRACmNpp4g,american
uf30W3lg8GrBIeU_4Z8n4Q,american
vtKxYnrZld4w6wG82Vm4pg,american
3cC6UcOj_-FMXRBYlsXFzA,american
d-DQwNxs77Pah2ys0q7w1Q,american
-7Cc_VzuQQ-IlAKriaqMhQ,american
ED2I3t5rOf81cddCsLA4tw,american
sLxHi6kOAEV6iqr45jzb_Q,american
URAjR1kFozo32euswA0yFA,american
VKTRY50N3sNbht-aAgeJzw,american
sVoW4CXYNNlgzT5hZ6_QUg,american
0xk8TyGZrKMDbEwg1KbjGw,american
zB1CaSLJ_b7qe7EAbmO5bw,american
tRZcEKBNNwiZw1_Px_POag,american
Rq7B5m9nYiRRRHa8CvPDTg,american
3y_-DwmoM198umnZHSOmKQ,american
2QOX2rxvcu956xLZRMdBlQ,american
vQXtCgUabVsw5L1TJtnslw,american
BSv3awhABROYjjwlQaQ-Qw,american
